Name	Primary Author(s)	RSS Feed URL	Access	Description	Publishing Cadence	Tags	Status	Last Post
Food for Agile Thought	Stefan Wolpers	https://age-of-product.com/feed/	Free	Weekly curated roundup of the best writing on agile, product ownership, scrum, product discovery, and team dynamics, with original essays on the product operating model.	Weekly	agile, scrum, product-ownership, discovery, curation	Active	2026-06-05
GTM Strategist	Maja Voje	https://knowledge.gtmstrategist.com/feed	Freemium	Go-to-market strategy, product-market fit, beachhead/segment selection, positioning, pricing, and launch tactics, with concrete examples and frameworks for taking products to market.	Weekly	go-to-market, product-market-fit, pricing, positioning, launch	Active	2026-06-05
The Outcome	ProdPad (Janna Bastow et al.)	https://www.prodpad.com/feed/	Free	ProdPad's newsletter on discovery, customer feedback, prioritization, metrics, OKRs, and the full PM lifecycle. Practical guidance on outcome-driven roadmapping.	Monthly	discovery, prioritization, metrics, okrs, roadmapping	Active	2026-05-28
The Black Box of Product Management	Brandon Chu	https://blackboxofpm.substack.com/feed	Free	From a Shopify VP of Product, demystifying the PM discipline: decision-making, mental models, prioritization, managing PMs, and growing into a product director/leader.	Others (Irregular)	product-management, leadership, decision-making, prioritization, career	Inactive	2021-08-11
Ask Gib	Gibson Biddle	https://askgib.substack.com/feed	Free	Former Netflix/Chegg VP/CPO answers reader questions on product, management, strategy, leadership, culture, and careers, drawn from decades of consumer product experience.	Others (Irregular)	product-strategy, product-leadership, careers, consumer-products	Inactive	2025-03-05
Ravi on Product	Ravi Mehta	https://blog.ravi-mehta.com/feed	Freemium	Former Tinder CPO on building products, building teams, AI, and product strategy. Frameworks and career guidance for PMs aiming at senior and leadership roles.	Others (Irregular)	product-strategy, ai, leadership, teams, career	Active	2026-06-04
Maarten's Newsletter	Maarten Dalmijn	https://www.mdalmijn.com/feed	Freemium	Brings clarity to agile product management with sharp, opinionated essays on Scrum, roadmaps, outcomes-over-output, and why so many product orgs get agile wrong.	Weekly	agile, scrum, roadmapping, outcomes, product-management	Active	2026-06-06
Behind Product Lines	Aatir Abdul Rauf	https://aatir.substack.com/feed	Freemium	Tactical product management and PM/PMM collaboration. Visual breakdowns and case studies on go-to-market, positioning, and the overlap of product and product marketing.	Weekly	product-management, product-marketing, go-to-market, positioning, visual	Active	2026-03-10
Untrapping Product Teams	David Pereira	https://dpereira.substack.com/feed	Freemium	A newsletter about hope for product people: simplifying complex situations and escaping the feature factory. Covers the evolving PM role, AI's impact on teams, and agility.	Weekly	product-management, agile, product-leadership, anti-feature-factory, ai	Active	2026-06-03
The Product Person	Richard Kong	https://theproductperson.substack.com/feed	Freemium	Each week summarizes one article to sharpen product skills. Draws parallels between historical tech shifts and current AI commercialization, competitive dynamics, and product strategy.	Weekly	product-management, ai, product-strategy, tech-analysis	Active	2026-04-12
The Uncommon Executive	Yue Zhao	https://news.theuncommonexecutive.com/feed	Freemium	Career growth, leadership, and product management for aspiring executives (L6+): performance reviews, promotion strategy, executive communication, and leading in an AI-driven workplace.	Weekly	product-leadership, career, executive, communication	Active	2026-06-06
Focused Chaos	Ben Yoskovitz	https://www.focusedchaos.co/feed	Freemium	Startups, product management, and analytics from a serial entrepreneur and co-author of Lean Analytics. Practical advice on building products, metrics, and operating in early-stage chaos.	Weekly	startups, product-management, analytics, metrics	Active	2026-05-12
Productify	Bandan Singh	https://productify.substack.com/feed	Freemium	Product growth strategies and case studies broken down for working PMs. Tactical breakdowns of how products grow, activate, and retain users.	Weekly	product-growth, case-studies, retention, plg	Active	2026-06-03
Product Manager HQ	Product Manager HQ team	https://www.producthq.org/feed/	Free	Community newsletter covering stakeholder navigation, soft skills, UX, retention, career progression, and PM fundamentals for a large PM audience.	Weekly	product-management, career, fundamentals, community	Active	2026-01-07
PM Talk	Anubhav Singh	https://pmtalk.substack.com/feed	Freemium	Practical product management lessons, frameworks, and career guidance for aspiring and working product managers, with an India-origin perspective.	Weekly	product-management, career, frameworks, india	Inactive	2025-06-26
Product Management with Mani	Mani Grewal	https://productmanagementwithmani.substack.com/feed	Freemium	Hands-on product management lessons, interview prep, and career advice geared toward breaking into and leveling up in PM roles.	Weekly	product-management, interviews, career, fundamentals	Active	2026-06-05
Productside Newsletter	Productside (Roger Snyder, Kayla Trail et al.)	https://productside.com/feed/	Free	Product management and product marketing training company's newsletter, sharing frameworks, leadership advice, and practical PM/PMM skills from their consulting practice.	Monthly	product-management, product-marketing, training, leadership	Active	2026-05-21
Sachin Rekhi's Blog	Sachin Rekhi	https://www.sachinrekhi.com/feed	Free	Evergreen essays on product management craft, design, and entrepreneurship from a former LinkedIn product leader and founder. Deep pieces on product judgment and strategy.	Others (Irregular)	product-management, product-craft, strategy, entrepreneurship	Active	2026-05-24
GoPractice	Oleg Yakubenkov	https://gopractice.io/feed/	Freemium	Resources on product, growth, analytics, and data-driven decision-making. Known for simulator-based learning and rigorous treatment of product and data problems.	Others (Irregular)	product-analytics, growth, data-driven, simulators	Active	2026-04-08
Elena's Growth Scoop	Elena Verna	https://www.elenaverna.com/feed	Freemium	Product-led growth, growth loops, monetization, retention, and growth-team org design from a serial growth exec (Dropbox, Amplitude, Miro). Opinionated takes and the AI growth playbook.	Weekly	growth, plg, retention, monetization, growth-loops	Active	2026-06-05
Leah's ProducTea	Leah Tharin	https://www.leahtharin.com/feed	Freemium	Long-form, no-BS guides on product-led growth, product-led sales, pricing/monetization, and organizational scaling for scaleups, plus PLG cohort education.	Weekly	plg, growth, product-led-sales, monetization, scaling	Active	2026-05-23
The Product-Led Geek	Ben Williams	https://www.plg.news/feed	Freemium	Weekly PLG and product-led-sales newsletter for B2B founders and product/growth leaders. Covers loop-based growth, activation, scaling product & growth teams, and PLS motions (ex-VP PLG at Snyk).	Weekly	plg, product-led-sales, growth, activation, b2b	Active	2026-06-02
@andrewchen	Andrew Chen	https://andrewchen.substack.com/feed	Free	Long-form essays on user growth, viral loops, network effects, churn/retention curves, and marketplaces from the a16z GP and ex-Uber growth lead. Foundational growth-theory writing.	Others (Irregular)	growth, retention, network-effects, viral-loops, marketplaces	Inactive	2025-11-05
ProductLed Newsletter	Wes Bush	https://productled.com/feed	Free	Weekly tactics from the world's fastest-growing product-led companies: building product-led orgs, free trial/freemium, activation, and self-serve revenue, from the author of Product-Led Growth.	Weekly	plg, activation, freemium, self-serve, strategy	Active	2026-06-04
Forget The Funnel	Georgiana Laudi & Claire Suellentrop	https://forgetthefunnel.com/feed	Free	Customer-Led Growth for SaaS: getting inside customers' heads, mapping and measuring the customer experience, and finding the levers that actually move retention and recurring revenue.	Others (Irregular)	retention, customer-led-growth, saas, activation, product-marketing	Active	2026-05-05
Casey Accidental	Casey Winters	https://www.caseyaccidental.com/feed	Free	Deep essays on growth strategy, retention, growth loops, marketplaces, and scaling product orgs from the ex-CPO of Eventbrite and growth lead at Pinterest/Grubhub.	Others (Irregular)	growth, retention, growth-loops, marketplaces, strategy	Active	2026-05-05
Brian Balfour	Brian Balfour	https://blog.brianbalfour.com/feed	Free	Deeply researched essays on growth strategy, product-channel fit, growth loops, retention, and AI's impact on distribution from the Reforge founder and ex-VP Growth at HubSpot.	Others (Irregular)	growth, growth-loops, retention, strategy, ai	Inactive	2025-10-02
PricingSaaS / Good Better Best	Rob Litterst	https://goodbetterbest.substack.com/feed	Free	Weekly breakdowns of real SaaS pricing and packaging moves (AI usage limits, credits, plan simplification), distilled into pricing ideas to steal, backed by data on thousands of pricing pages.	Weekly	pricing, packaging, monetization, saas, plg	Active	2026-05-01
PLG Monetized	John Kotowski	https://substack.pricingsaas.com/feed	Freemium	PLG pricing and monetization deep dives: usage-based pricing, pricing metrics, feature gating, and packaging strategy for self-serve software.	Weekly	monetization, pricing, plg, packaging, usage-based	Inactive	2023-04-13
Growth Gems	Sylvain Gauchet	https://growthgems.substack.com/feed	Freemium	Curated "gems"—actionable insights mined from the best growth podcasts and talks. Full-funnel consumer/app growth: paid UA, creatives, retention, monetization, and lifecycle marketing.	Others (Irregular)	growth, acquisition, retention, monetization, mobile	Active	2026-06-02
Growthmates	Kate Syuma	https://www.growthmates.news/feed	Freemium	Holistic growth at the intersection of PLG, UX/growth design, and leadership. Deep-dive interviews and playbooks with growth leaders from Notion, Canva, Dropbox, Miro, and Amplitude.	Fortnightly	plg, growth-design, ux, leadership, activation	Active	2026-05-24
Mobile Dev Memo	Eric Seufert	https://mobiledevmemo.com/feed/	Freemium	Independent analysis of the digital economy: freemium monetization, mobile user acquisition, ad-driven growth, attribution, and quantitative marketing for consumer apps.	Weekly	monetization, acquisition, mobile, freemium, advertising	Active	2026-06-04
PeerSignal	Adam Schoenfeld	https://www.peersignal.org/feed	Freemium	Data-backed B2B SaaS go-to-market research: PLG benchmarks, GTM-motion data, role-model teardowns, and category analysis for growth, sales, and marketing leaders.	Weekly	go-to-market, plg, benchmarks, b2b, data	Active	2026-04-08
Ben's Bites	Ben Tossell	https://www.bensbites.com/feed	Freemium	Practical AI news and education for people using AI at work and building with it. Daily roundups of the biggest announcements plus tutorials, tool breakdowns, and how-to guides.	Daily	ai, ai-news, ai-tools, genai	Active	2026-06-04
The Rundown AI	Rowan Cheung	https://rss.beehiiv.com/feeds/2R3C6Bt5wj.xml	Free	Daily 5-minute brief on the most important AI news, model releases, and tools, with a "how to use it" angle. Heavy on practical applications, prompts, and tooling.	Daily	ai, ai-news, ai-tools, genai	Active	2026-06-05
Latent Space	swyx (Shawn Wang) & Alessio Fanelli	https://www.latent.space/feed	Freemium	The AI Engineer newsletter and podcast: foundation models, code generation, multimodality, AI agents, and infra. Deep technical interviews; essential for PMs building serious LLM products.	Weekly	ai, llm, ai-engineering, agents, genai	Active	2026-06-05
AI Tidbits	Sahar Mor	https://www.aitidbits.ai/feed	Freemium	AI for builders and operators by an ex-Stripe PM/engineer. Roundups of papers and news plus deep dives on generative AI, agents, and AI coding, translating research into product insight.	Weekly	ai, llm, agents, ai-tools, genai	Active	2026-06-14
One Useful Thing	Ethan Mollick	https://www.oneusefulthing.org/feed	Free	Wharton professor Ethan Mollick on the practical implications of AI for work, education, and life. Hands-on experiments with frontier models, prompting craft, and how AI changes how teams build.	Weekly	ai, genai, llm, future-of-work, ai-strategy	Active	2026-06-04
Marily Nika's AI Product Academy	Dr. Marily Nika	https://marily.substack.com/feed	Freemium	A leading AI-for-PMs newsletter by a Gen AI Product Lead (ex-Google/Meta). Practical AI-PM frameworks, technical toolkits, workflows, and career guidance for building and leading AI products.	Weekly	ai-pm, ai, genai, product-management, ai-tools	Active	2026-06-04
Behind the Craft	Peter Yang	https://creatoreconomy.so/feed	Freemium	Practical AI tutorials, prompt libraries, and interviews for product builders and creators. Becoming an AI-powered product leader, AI tooling workflows, and applying genAI to product work.	Weekly	ai, ai-pm, ai-tools, product-management, genai	Active	2026-06-03
The Neuron	Noah Edelman & Pete Huang	https://rss.beehiiv.com/feeds/N4eCstxvgX.xml	Free	Daily ~3-minute AI brief on the latest news, tools, and research with context on why it matters and how to apply it at work. Accessible and application-focused.	Daily	ai, ai-news, ai-tools, genai	Active	2026-06-05
TLDR AI	TLDR team (Dan Ni)	https://tldr.tech/api/rss/ai	Free	Daily concise roundup of the most important AI/ML news, research papers, and engineering links. Covers model releases, tooling, and developments relevant to building AI products.	Daily	ai, ml, ai-news, ai-engineering, genai	Active	2026-06-05
Exponential View	Azeem Azhar	https://www.exponentialview.co/feed	Freemium	In-depth analysis of AI and exponential technologies and their impact on business, economy, and society. Strategic, big-picture framing for product leaders thinking long-term about AI.	Weekly	ai, ai-strategy, tech-trends, genai, future	Active	2026-06-03
Interconnects	Nathan Lambert	https://www.interconnects.ai/feed	Freemium	An ML researcher (ex-HuggingFace/AI2) making sense of the latest models, training methods, and the open-model ecosystem. Great for PMs who want to understand model capabilities deeply.	Weekly	ai, llm, ml, open-models, ai-research	Active	2026-06-02
The Pragmatic Engineer	Gergely Orosz	https://newsletter.pragmaticengineer.com/feed	Freemium	The #1 technology newsletter on Substack, covering Big Tech and startups from the inside: engineering, AI tooling/coding assistants, careers, compensation, and how products and teams are built.	Weekly	engineering, ai-tools, career, big-tech, org-design	Active	2026-06-03
Import AI	Jack Clark	https://importai.substack.com/feed	Free	Weekly newsletter by Anthropic co-founder Jack Clark summarizing key AI research and what it implies for policy, safety, and capabilities. Useful for tracking where the frontier is heading.	Weekly	ai, ai-research, ml, ai-policy, genai	Active	2026-06-01
Every	Dan Shipper, Nathan Baschez & team	https://every.to/feed.xml	Freemium	A bundle of essays on AI and how to actually use it to build and work, including hands-on pieces on AI products, agents, and AI-native workflows for builders and operators.	Daily	ai, ai-tools, genai, product, ai-workflows	Active	2026-06-04
Last Week in AI	Andrey Kurenkov & Jeremie Harris	https://lastweekin.ai/feed	Free	Weekly summary of the most significant AI news and research with thoughtful commentary. Balanced coverage of capabilities, products, and policy for staying current on the AI landscape.	Weekly	ai, ml, ai-news, ai-research, genai	Active	2026-05-26
Experimental Mind	Kevin Anderson	https://kevinanderson.substack.com/feed	Freemium	Curated weekly newsletter at the intersection of experimentation, analytics, and behavioral science. Rounds up the best reads, events, and jobs in online controlled experiments and A/B testing.	Weekly	experimentation, ab-testing, analytics, behavioral-science, jobs	Active	2026-06-01
CRO Weekly	Tom van den Berg	https://tomvandenberg.substack.com/feed	Freemium	Curated overview of conversion-rate optimization and experimentation reads, talks, tools, and jobs. Covers experiment design, metric pitfalls, scaling experimentation quality, and validation.	Weekly	cro, experimentation, ab-testing, conversion, analytics	Active	2026-03-26
Data Analysis Journal	Olga Berezovsky	https://dataanalysis.substack.com/feed	Freemium	Where product, data science, and analytics intersect. Practitioner deep dives on retention measurement, A/B testing, product metrics, and analytics tooling from real product-analytics leadership.	Weekly	product-analytics, metrics, retention, ab-testing, data-science	Active	2026-06-03
Counting Stuff	Randy Au	https://www.counting-stuff.com/rss/	Freemium	The important, mundane parts of data science: data collection, quality, cleaning, and research methodology, with practical takes on quantitative UX research and analytics work.	Weekly	data-science, data-quality, methodology, analytics, ux-research	Active	2026-06-04
benn.substack	Benn Stancil	https://benn.substack.com/feed	Freemium	Weekly essays on data, analytics, and the modern data stack, with semi-controversial takes on BI tools, metrics layers, data companies, and analytical methodology.	Weekly	analytics, data, modern-data-stack, bi, metrics	Active	2026-06-05
Decision Intelligence	Cassie Kozyrkov	https://decision.substack.com/feed	Freemium	Data-driven decision-making with a dash of humor: statistics, ML/AI, decision science, and analytics fundamentals, translating rigorous concepts into practical guidance for better choices.	Weekly	decision-science, statistics, analytics, data, ml	Active	2026-06-03
Scaling Down (Statsig)	Statsig Team (Vijaye Raji et al.)	https://newsletter.statsig.com/feed	Free	Reflections from Statsig engineers and product builders on the startup journey, product development, and experimentation challenges, from a team building a leading experimentation platform.	Monthly	experimentation, ab-testing, startups, product, statistics	Inactive	2025-04-04
TheSequence	Jesus Rodriguez & Ksenia Se	https://thesequence.substack.com/feed	Freemium	Stay up to date with ML, AI, and data science: a free weekly digest of research, releases, and startups plus premium deep dives into ML concepts and frameworks.	Weekly	ml, ai, data-science, research	Active	2026-06-04
Locally Optimistic	Community (data leaders)	https://locallyoptimistic.com/feed/	Free	A blog for current and aspiring data and analytics leaders: building analytics functions, data culture, analytics engineering, and the pitfalls of "data-driven" strategy.	Others (Irregular)	analytics, data-leadership, analytics-engineering, data-culture, bi	Inactive	2025-08-18
UX Collective	Fabricio Teixeira & Caio Braga	https://newsletter.uxdesign.cc/feed	Free	Ad-free weekly curation of the best product design, UX, interaction design, strategy, and usability links, plus original essays like the annual State of UX report.	Weekly	ux, design, product-design, usability, curation	Active	2026-06-01
Built for Mars	Peter Ramsey	https://builtformars.substack.com/feed	Freemium	In-depth UX teardowns and case studies dissecting how real products (Stripe, Klarna, Notion, Google) design onboarding, flows, and friction, plus UX Bites and product-psychology breakdowns.	Others (Irregular)	ux, case-studies, usability, product-psychology, onboarding	Active	2026-06-06
Maggie Appleton	Maggie Appleton	https://maggieappleton.com/rss.xml	Free	Visual essays blending design, anthropology, and software, including work on AI/LLM interfaces, design patterns, and tools for thought, from a product designer at Elicit.	Others (Irregular)	design, ux, ai-interfaces, design-patterns, essays	Active	2026-04-13
Smashing Magazine	Vitaly Friedman & team	https://www.smashingmagazine.com/feed/	Free	Practical front-end and UX articles for designers and developers: usability, accessibility, design systems, interface patterns, and increasingly AI-and-design topics.	Weekly	ux, web-design, usability, accessibility, design-systems	Active	2026-06-03
UX Design Weekly	Kenny Chen	https://uxdesignweekly.com/feed/	Free	A hand-picked weekly list of the best UX design articles, tools, resources, and case studies, published every Monday. A reliable digest to stay current on UX trends.	Weekly	ux, design, curation, tools, usability	Active	2026-06-01
Nielsen Norman Group (NN/g)	Jakob Nielsen, Don Norman & NN/g researchers	https://www.nngroup.com/feed/rss/	Free	Research-backed articles on usability, UX research methods, information architecture, interaction design, and evidence-based design heuristics. The authoritative source for usability principles.	Weekly	usability, ux-research, interaction-design, heuristics, information-architecture	Active	2026-06-05
Growth.Design	Dan Benoni & Louis-Xavier Lavallee	https://growth.design/feed	Free	Comic-book-format UX case studies applying behavioral psychology to how products like Tinder, Airbnb, and Trello design experiences users love. Visually engaging, deeply researched breakdowns.	Monthly	ux, case-studies, product-psychology, growth-design, behavioral-design	Active	unknown
Product Picnic	Pavel Samsonov	https://rss.beehiiv.com/feeds/aoQVhPNHQP.xml	Free	Essays reframing design as a decision-making framework for product development, focused on creating environments where good design and discovery decisions happen.	Others (Irregular)	design, product-discovery, design-strategy, decision-making, ux	Active	2026-05-31
Jared Spool / UIE	Jared Spool	https://articles.centercentre.com/feed/	Free	Research, articles, and advice on maturing UX strategy within organizations from the founder of UIE/Center Centre: design maturity, UX leadership, and connecting design to business value.	Others (Irregular)	ux-strategy, design-maturity, ux-leadership, usability, organizations	Active	2026-03-06
Mule Design (Erika Hall)	Erika Hall	https://www.muledesign.com/blog?format=rss	Free	Notes from the author of Just Enough Research and Conversational Design on evidence-based design, lean research methods, asking the right research questions, and clear language.	Others (Irregular)	user-research, design-research, lean-research, content-design, evidence-based	Inactive	2025-10-06
Irrational Exuberance	Will Larson	https://lethain.com/feeds.xml	Free	Engineering leadership writing from a multi-time CTO (Carta, Calm) and author of Staff Engineer and An Elegant Puzzle: engineering strategy, leadership styles, the Staff-plus track, and developing teams.	Weekly	leadership, engineering-management, strategy, career, org-design	Active	2026-04-27
Wes Kao's Newsletter	Wes Kao	https://newsletter.weskao.com/feed	Freemium	Executive coach and Maven/altMBA co-founder on managing up, executive communication, influence, and standing out as a high performer. Tactical advice for operators and leaders.	Weekly	communication, managing-up, leadership, career, personal-effectiveness	Active	2026-05-27
Refactoring	Luca Rossi	https://refactoring.fm/feed	Freemium	For 170,000+ engineers and managers on becoming a better engineering leader: management, technical strategy, hiring, team culture, and manager archetypes via short and long-form essays.	Weekly	engineering-management, leadership, team-culture, hiring, career	Active	2026-06-03
Lara Hogan / Wherewithall	Lara Hogan	https://larahogan.me/feed.xml	Free	Management coaching from a former VP of Engineering (Kickstarter) and Etsy director: one-on-ones, feedback, meetings, managing emotions, expectation-setting, and supporting emerging leaders.	Others (Irregular)	management, leadership, coaching, one-on-ones, communication	Active	2026-04-22
Elided Branches	Camille Fournier	https://www.elidedbranches.com/feeds/posts/default	Free	Engineering management and technical leadership from the author of The Manager's Path and former CTO of Rent the Runway: the management ladder, IC-to-manager transitions, and org structure.	Others (Irregular)	engineering-management, leadership, career, org-design, management	Active	2026-05-31
charity.wtf	Charity Majors	https://charitydotwtf.substack.com/feed	Free	Honeycomb co-founder and CTO on engineering management, startups, and the famed Engineer/Manager Pendulum: balancing IC and management work, observability culture, and healthy orgs.	Others (Irregular)	engineering-management, leadership, career, org-design, startups	Active	2026-06-02
Radical Candor	Kim Scott (Radical Candor team)	https://www.radicalcandor.com/blog/rss.xml	Free	From the author of Radical Candor and Radical Respect: giving and receiving feedback, building caring-yet-direct management relationships, and creating respectful workplace cultures.	Weekly	feedback, management, leadership, communication, culture	Active	2026-05-30
Know Your Team	Claire Lew	https://canopy.is/blog/feed	Free	A CEO coach writing weekly on becoming a better manager: running effective one-on-ones, getting honest feedback, building trust, and the realities of first-time leadership.	Weekly	management, leadership, one-on-ones, feedback, first-time-managers	Inactive	2024-04-10
Level Up Newsletter	Ethan Evans	https://levelupwithethanevans.substack.com/feed	Freemium	A retired Amazon VP teaching professionals to become true executives: executive presence, the "Magic Loop" growth framework, managing up, and rising from IC to VP.	Weekly	career, leadership, executive-presence, management, promotion	Active	2026-06-04
Implications	Scott Belsky	https://www.implications.com/feed	Freemium	From Behance founder and former Adobe CPO, forecasting how advances in tech, AI, and culture reshape products, creative workflows, teams, and leadership.	Others (Irregular)	product, leadership, future-of-work, teams, creativity	Active	2026-05-12
The Engineering Manager	James Stanier	https://theengineeringmanager.substack.com/feed	Freemium	From Shopify's Director of Engineering and author of Become an Effective Software Engineering Manager: tutorials for new managers plus essays, interviews, and book reviews.	Others (Irregular)	engineering-management, leadership, new-managers, career, remote-work	Active	2026-05-19
Software Lead Weekly	Oren Ellenbogen	https://swlw-rss.netlify.app/issues.rss	Free	A curated free weekly email for people who care about people, culture, management, and leadership. Hand-picked best articles on software leadership, delivered every Friday.	Weekly	engineering-management, leadership, culture, curation, management	Active	2026-06-05
Dave's Founder Notes	Dave Bailey	https://foundercoach.substack.com/feed	Freemium	From a CEO coach who scaled Delivery Hero: short-form leadership advice for founders and CEOs on becoming a better leader, communication, decision-making, and executive growth.	Weekly	leadership, founder, ceo, coaching, communication	Inactive	2025-12-03
Net Interest	Marc Rubinstein	https://www.netinterest.co/feed	Freemium	Weekly deep dives into the financial sector—banks, fintech, insurance, capital markets—from a former hedge fund manager. Analyzes business models, competitive dynamics, and market structure.	Weekly	fintech, finance, banking, business-models, b2b	Active	2026-06-05
Fintech Takes	Alex Johnson	https://newsletter.fintechtakes.com/feed	Freemium	Twice-weekly deep dives plus short takes on lending, credit, regulation, banking-as-a-service, and fintech launches, funding, and M&A. Strong on policy and infrastructure nuance.	Weekly	fintech, lending, banking, regulation, b2b	Inactive	2022-04-22
Mostly Metrics	CJ Gustafson	https://cjgustafson.substack.com/feed	Freemium	For current and aspiring CFOs and operators: SaaS metrics (NDR, CAC, Rule of 40), go-to-market strategy, annual planning, pricing, and monetization, explained plainly and with wit.	Weekly	saas, metrics, finance, b2b, go-to-market	Active	2026-01-29
